residuals1961,residuals1962,residuals1963,residuals1964,residuals1965,residuals1966,residuals1967,residuals1968,residuals1969,residuals1970,residuals1971,residuals1972,residuals1973,residuals1974,residuals1975,residuals1976,residuals1977,residuals1978,residuals1979,residuals1980,residuals1981,residuals1982,residuals1983,residuals1984,residuals1985,residuals1986,residuals1987,residuals1988,residuals1989,residuals1990,residuals1991,residuals1992,residuals1993,residuals1994,residuals1995,residuals1996,residuals1997,residuals1998,residuals1999,residuals2000,residuals2001,residuals2002,residuals2003,residuals2004,residuals2005
.16407101,-.055116959,.5139609,-.080940396,.12738639,.47527024,.57823056,.27351335,.37776312,.44233561,.54299754,.28230923,.30735233,.11248566,.24853966,.49535123,.41558239,.36030251,.10491853,.49042809,.5463236,.27061707,.073305272,.54968739,-.031721938,-.031038594,.57221502,.276658,-.0082892878,.37286961,-.024625156,.27752531,-.044876028,.12011726,.55737442,.3794812,-.077207953,.27706686,.057184044,.33039534,.10453235,.59711564,.027259175,.30483583,.44619143
.23396055,-.099894732,-.090708129,-.10808393,-.004911351,.041782599,.10223579,-.025432171,.051510934,-.031242756,.08392819,-.013422522,.075480856,-.016148219,-.036052514,.066311389,.010806506,.17514525,.071109273,.046978366,-.02002297,.22311868,-.12933466,.0020479828,-.0065428941,.053988259,.043670584,.049093988,-.022269975,-.035654943,.093257628,.031387623,.14804721,.037846681,-.084195234,-.010248127,.22161259,-.037804659,.080902494,.19908825,-.052002627,-.02633753,.029413898,-.035709631,.14073288
-.20919688,-.10111741,-.17928454,-.071911804,-.17094225,-.1855683,-.025436388,-.25827074,-.24834615,-.23611529,-.25188631,-.15910278,-.1267412,-.20716113,.028700871,-.26772758,-.17738461,-.20327842,-.22791491,-.11229501,-.17456786,-.085885629,-.13852073,-.19715069,-.062313516,-.14019635,-.18246466,-.15708795,-.077323519,-.15613842,-.22993742,-.091020785,-.22396426,-.2291708,-.18744151,-.16805221,-.15836009,-.29519135,-.1298769,-.18755791,-.26160699,-.23538199,-.20850362,-.10115365,-.22650748
.034372505,.055268627,-.070851386,-.04249284,.11591736,-.063280135,.085388549,.077523604,-.11148623,.053092401,.099123903,.11969486,.10270941,-.048331093,-.1160992,.013225195,.030609358,.048775267,.094209529,-.088649951,-.12196945,-.066884428,-.12287202,.088252738,.14300106,-.12667921,.0038386479,.0095648514,-.14272441,.10617931,-.025763419,-.014355744,.060418118,-.092040278,-.14359467,-.080763526,-.094031624,-.13477188,-.056485195,-.13581116,.071637727,.13689414,-.033523258,-.064515345,-.048240092
-.30624574,-.10583413,-.21310137,-.359115,-.28224543,-.26593536,-.10306884,-.18514213,-.38020596,-.20106289,-.27347869,-.25735709,-.20578136,-.27137104,-.26953551,-.29438466,-.38153955,-.26939741,-.27980945,-.12180182,-.23171802,-.27349856,-.12738504,-.1861814,-.33914009,-.28437173,-.22148533,-.11685123,-.3642801,-.3046506,-.22670777,-.12694085,-.39886251,-.1648304,-.18295141,-.22374701,-.18459278,-.38142279,-.2022769,-.27212682,-.1478699,-.26005,-.12062792,-.090333462,-.26609433
-.07282947,-.040864147,-.062490657,.1032878,-.039963871,.13900146,-.075251527,-.030636197,-.077176094,-.076267563,-.072331749,.18222108,-.076205708,-.087611206,-.0478478,-.076295801,.14340648,.12938289,-.063800059,-.097068325,-.05509562,-.020850133,-.057728373,.1087447,-.084571712,.095602423,-.052765761,-.085910998,-.086930096,-.085814849,.12926832,-.066473104,.076275192,-.085138433,-.093321368,-.11053431,.019385923,.082116529,-.069198973,.051353227,-.085539117,.097752377,-.013905938,-.064687766,-.095485002
-.069719858,-.021873811,-.13105881,-.12424976,-.036474928,.018315239,-.089156516,.046961989,-.0074191196,-.11380298,.13526995,-.055976409,.010551867,-.13581638,-.12639624,-.09789215,-.050007943,-.080318853,-.16455078,-.078853689,-.12163246,-.077133268,.077455796,-.13607663,-.084870689,-.042598635,-.10941207,.10307071,-.15853135,-.025852118,.031941596,.097421721,-.17917839,-.1642106,-.19273882,-.14055428,-.063270442,.0036143032,-.029745799,.072520629,-.051439144,-.087620147,-.13425983,-.1581341,-.15876485
.18596859,.088928595,.059399743,.16475466,.16070364,.21089788,.11517186,.20191967,.10637485,.16961892,-.03025973,.065193594,-.030532481,.13084327,.020355208,.10738224,.20294194,.13034241,.013367039,.13407522,.079261042,.13107637,.02476022,-.056935038,.090646125,.068024337,.13172722,.03439052,.043969784,.13505374,-.0021693811,-.059948411,.13857475,.16236372,.15556076,.089886129,.11343776,.08150062,.079137497,-.043391764,.16731675,.094876528,.11555504,-.044205345,.015890893
-.11910179,-.12023262,-.32602519,-.0741705,-.35743764,-.42410645,-.34677112,-.2903268,-.34265155,-.29830834,-.42670035,-.28817084,-.45726016,-.30034947,-.43837604,-.39138818,-.38280687,-.30147287,-.35716614,-.43432325,-.35694924,-.26931882,-.30586341,-.054358058,-.42406926,-.31974411,-.15530702,-.34492457,-.42139548,-.35472766,-.26178977,-.44430518,-.40629587,-.32011649,-.3600536,-.37242979,-.36825117,-.33728746,-.40468162,-.30957761,-.14895222,-.33950111,-.33599678,-.35148722,-.4553014
.16148703,.20165567,-.088956438,.22242802,.16892146,.2703231,.015560989,.19421971,.075642399,.19297956,.30455807,.0095423358,.11552211,.15475199,.29373267,.30856484,-.040648691,.1686108,.29132563,-.080632091,.33224288,.18992691,.29124016,.18758413,.20477666,.12390953,.42012918,.10669489,.18032975,.12500523,.097444527,.051341396,.30327424,.30854622,.18164435,.36949679,.23341875,.23868351,.1353821,.29454422,.28016922,.35282871,.26761147,.11690725,.29639882
