residuals_fe1961,residuals_fe1962,residuals_fe1963,residuals_fe1964,residuals_fe1965,residuals_fe1966,residuals_fe1967,residuals_fe1968,residuals_fe1969,residuals_fe1970,residuals_fe1971,residuals_fe1972,residuals_fe1973,residuals_fe1974,residuals_fe1975,residuals_fe1976,residuals_fe1977,residuals_fe1978,residuals_fe1979,residuals_fe1980,residuals_fe1981,residuals_fe1982,residuals_fe1983,residuals_fe1984,residuals_fe1985,residuals_fe1986,residuals_fe1987,residuals_fe1988,residuals_fe1989,residuals_fe1990,residuals_fe1991,residuals_fe1992,residuals_fe1993,residuals_fe1994,residuals_fe1995,residuals_fe1996,residuals_fe1997,residuals_fe1998,residuals_fe1999,residuals_fe2000,residuals_fe2001,residuals_fe2002,residuals_fe2003,residuals_fe2004,residuals_fe2005
-.11629061,-.048844222,.17474911,-.12149778,-.18045017,.13263701,-.095279336,-.12503323,.080746807,.12466181,.017799627,.070203103,.074942477,-.042152878,.17804773,-.069391988,-.036671262,.11755068,.032644894,-.089582093,-.00047388533,.014994726,-.092699341,.021303568,-.10023632,-.010506458,.17604183,-.0056874347,.064143166,.16340481,.048715681,-.084076837,.019210629,-.1330658,-.087203093,.08704263,-.012981241,.0018010894,-.2008768,-.068873614,-.0078224093,.0081941104,.14869167,-.087236568,.059406221
.15338054,-.099545851,-.17523798,-.22946337,.40742207,.19552262,-.14622073,-.36750603,-.027375467,.046839722,.20001936,-.30675098,.36627695,.35854876,.42621812,.39993796,-.37006637,-.0081464006,.18944293,.42283311,-.067899257,.34892601,.092517562,-.14195703,.39994186,-.19126152,.3943013,-.34083834,-.20586969,-.32718313,-.13538659,.23883693,-.23275092,-.21531153,-.32698292,-.13920163,-.42039916,-.093634754,.32417759,-.064126551,-.14203514,.25666586,-.14338897,-.18237038,-.12089854
.09259253,-.29873687,-.15230943,.089168288,.22153541,-.32764721,-.38162065,-.12579966,.40166777,-.15523081,.309598,-.3135066,-.09978687,-.18692446,.11444099,-.3473559,-.33126506,-.17963023,.075244211,.030176925,-.096545011,.46130028,.22950754,.22758129,.13791201,.13169923,.19850501,.27386367,.19019051,.12641101,.16188845,.077438273,-.18814416,-.36240855,.22683127,-.40722838,.16859633,-.38709009,-.01617809,.19065884,.19077958,.16100471,.2385924,-.28486142,-.084915116
.0721668,.12115994,.033357397,.0476056,-.032565255,-.10607362,-.011205941,-.050171621,-.043924209,.083673395,-.041783541,.10171498,.0049204668,-.10780287,-.043356471,.0034154765,-.12251888,.021945201,-.0030079337,-.1595366,-.10207214,.11042573,-.021041263,.034564592,.011066402,.0018570987,.089813992,.066124544,.080612294,-.060155757,.083908856,.052508462,-.078268431,.020533293,.018851735,-.017029684,-.075751424,.038041119,-.02479386,-.068454832,.055365939,-.098101519,.09404289,-.045223832,.065163501
-.17824022,.18611716,.0072085755,-.10385913,-.048199669,-.15654838,.13848913,.11567582,-.040799782,-.12607002,.1177815,-.051436994,.0029001716,.058857348,.10085157,.066989288,-.030022757,-.042320792,-.062357496,-.015817359,-.031724185,.11918389,-.088568173,-.12133434,-.0055854023,.099789932,-.13157885,.092872277,-.042426802,-.042022262,.16054006,.13840823,.10052416,.10073962,-.0054786839,-.17529407,.090778753,-.049809508,-.044760577,.077678062,-.13930219,-.04987292,-.021137884,.11816212,-.088979207
-.15773179,-.082078338,.080687031,.19974732,-.20811257,-.11148032,-.15921523,.045132902,-.090582505,.52131784,-.0066508488,-.0764452,-.021216867,-.00253009,.51289248,.08473514,-.15444458,-.18113944,.14969452,.078520104,-.18009691,.21085891,.042072203,.19093528,.14174795,-.26107851,-.010460705,-.13481092,.078534551,-.067391895,-.052996881,-.063572221,-.06640543,-.049015488,-.18456207,-.030149559,-.10689986,.42754692,.25723794,-.10764483,-.23807138,-.081170157,-.0021958281,-.023267714,-.11024299
-.12595604,-.26567069,.23978893,-.35905287,-.1612034,.19160287,.32189912,-.010689322,.15667592,.15643004,.26600787,.021218982,.039188597,-.20839687,-.028988142,.24588464,.14245749,.074105233,-.18275666,.21946059,.30210158,.013690419,-.18254785,.30664596,-.29819915,-.31284159,.31896064,.032959823,-.2820763,.070684977,-.24967565,.031208849,-.34215447,-.16033223,.30337632,.10587087,-.37449011,.0055514798,-.21103591,.073260896,-.19775817,.30911019,-.25235671,.038901571,.21913825
.18109567,-.073286265,-.12771791,-.14903422,-.05633897,-.0047226124,.083066531,-.072472662,.067585923,-.079986162,.044100679,-.037350595,.044479303,-.099868573,-.076418139,.054006983,-.025156213,.12611014,.020596258,.013173047,-.027082803,.20335419,-.1480256,-.0038312965,-.035857935,.0093474435,.027578374,.042557992,-.058894802,-.10067741,.10536931,.022233348,.087930955,-.00544063,-.10103115,-.046696279,.16149262,-.072157867,.049844723,.17911598,-.11713096,-.077180795,-.013039799,-.064481705,.15084189
-.059310742,.12824208,-.013543311,.08988893,-.019618846,-.029322488,.15814538,-.10256021,-.029520137,-.082107678,-.088962786,.019720173,.045008272,-.088130467,.19108626,-.077280954,-.010596308,-.04956251,-.075676896,.056650691,.021123329,.097100906,.045539349,-.00027894496,.11112247,.01791385,.0041941572,.039127074,.08880268,-.018409871,-.015074707,.10257597,-.081329495,-.069707088,-.0015264116,-.0017493358,-.015729044,-.12679352,.041816358,-.004779153,-.12398431,-.083474234,-.048206288,.072825298,-.013647465
.024262255,.12463172,-.065106541,-.0406885,.10724437,-.06703072,.10897392,.07323774,-.052656621,.047103625,.10205102,.13852142,.11446248,-.089296818,-.11371019,.043675419,.037401266,.042494781,.086451143,-.079700641,-.086274654,-.04389428,-.098808333,.12512809,.15644066,-.1285654,.030501066,.045783482,-.13659461,.083911471,.029102897,.019244608,.043056484,-.092572965,-.11767595,-.074457049,-.11139697,-.12637046,-.044788335,-.1130288,.049264017,.1288055,-.033222325,-.050532795,.0046235379
-.08904732,.19083764,.019952161,-.13000198,-.063609727,-.04237726,.14782523,.037880696,-.09406767,.020257028,-.04324289,-.011221834,.033280414,-.08502806,-.039837819,-.036625732,-.14743897,-.048369206,-.060259134,.11445617,.031285468,-.023199735,.12398733,.078002639,-.098391823,-.058949221,.032485772,.14667609,-.13084163,-.099609755,.055467237,.13396819,-.18891546,.061945606,.070276,.0098681469,.025350567,-.14571267,.036728654,-.022035763,.057065085,-.040829934,.1069817,.15095778,.014077994
-.075022526,.036416143,-.048828617,.11300933,-.040719662,.14316808,-.043748949,-.02700486,-.010429279,-.074339144,-.061487429,.20896484,-.056535434,-.12065973,-.037541598,-.037928373,.1581156,.13101961,-.063641243,-.08020182,-.011483627,.010057211,-.025747489,.15353724,-.06321492,.10163343,-.018186145,-.041775171,-.072883092,-.10016549,.19205184,-.024955552,.066830754,-.077753916,-.059485462,-.09631063,.0099377809,.098435141,-.049584914,.08205279,-.099995628,.09758094,-.0056878095,-.042788014,-.034704171
-.02636458,.10095481,-.071848445,-.068979904,.0083176075,.068030179,-.012105616,.096141659,.10487602,-.066326223,.19166261,.016315674,.075770468,-.12331658,-.07054171,-.013976397,.010249493,-.033133809,-.11884364,-.016438859,-.032472141,-.00067759713,.154985,-.04573575,-.017965578,.0089807035,-.029284127,.19275486,-.098936021,.0053455704,.14027344,.1844876,-.1430745,-.11127776,-.11335458,-.080782279,-.027170261,.065481246,.035416588,.14876851,-.020347323,-.042243253,-.080493383,-.090686023,-.052435696
.076962203,.059395544,-.033751555,.067662857,.053134516,.10825115,.03986109,.098737672,.06630832,.064733997,-.12622875,-.014875994,-.11767554,-.0090186037,-.07615193,.038936321,.11083771,.025165781,-.093287483,.044128388,.016059693,.055170365,-.050072238,-.11895583,.0051895692,-.032757994,.059493501,-.028286988,-.048796553,.013889756,-.046199206,-.1252442,.022316979,.062934898,.082583338,-.0027035379,-.0028237209,-.0089941071,-.0080617871,-.11950554,.046046905,-.012108251,.016959827,-.12911893,-.03014162
