sector,gross_output_basic,gross_value_added,wage,other_production_tax,depreciation,net_operating_surplus,factor_share,wage_share_gross_output,imported_intermediate,import_share,domar_lambda,final_demand_domestic_basic
Dienstleist. der Vermietung v. beweglichen Sachen,86654.0,61448.0,6298.0,177.0,56132.0,-1159.0,0.7091190250882822,0.0726798532093152,1718.0,0.01982597456551342,0.028619289534575723,21591.86957032587
DL d. Vermittlung u. Überlassung v. Arbeitskräften,38323.0,28667.0,28764.0,7.0,290.0,-394.0,0.7480364272108133,0.750567544294549,1002.0,0.02614617853508337,0.012656969474387166,2486.8386770094144
"DL v. Reisebüros, -veranstaltern u. sonst. Reserv.",35779.0,7432.0,3038.0,-200.0,266.0,4328.0,0.20771961206294196,0.08491014282120797,13677.0,0.38226333883004,0.01181676045257674,23059.82612432041
"Wach-, Sicherheits-DL, wirtschaftliche DL a.n.g",131261.0,75033.0,47524.0,28.0,2932.0,24549.0,0.5716320917865931,0.3620572751997928,6330.0,0.048224529753696836,0.04335168097950405,19907.420566905734
DL d. öffentlichen Verwaltung und der Verteidigung,255164.0,160132.0,124783.0,89.0,35260.0,0.0,0.627565017008669,0.48903058425169693,8540.0,0.03346867112915615,0.08427322910425925,198729.4636801409
Dienstleistungen der Sozialversicherung,36162.0,24524.0,23269.0,22.0,1233.0,0.0,0.6781704551739395,0.6434655162878159,711.0,0.019661523145843702,0.011943254185026973,31814.79722950668
Erziehungs- und Unterrichtsdienstleistungen,179280.0,137258.0,106557.0,-1959.0,25410.0,7250.0,0.7656068719321731,0.5943607764390897,2696.0,0.015037929495760822,0.059210956537017745,142098.46707651616
Dienstleistungen des Gesundheitswesens,235109.0,160069.0,113061.0,-2567.0,21868.0,27707.0,0.6808288921308839,0.480887588310103,9077.0,0.03860762454861362,0.07764964736982209,201450.80301362372
Dienstleistungen von Heimen und des Sozialwesens,105833.0,68930.0,69833.0,-717.0,11223.0,-11409.0,0.651309137981537,0.6598414483195223,4472.0,0.04225525119764157,0.03495355401150267,95213.50371400149
"Dienstleist. der Kunst, Kultur u. des Glücksspiels",34472.0,22210.0,9288.0,228.0,4730.0,7964.0,0.6442910187978649,0.2694360640519842,1715.0,0.04975052216291483,0.011385096462204796,23123.69742847961
"DL des Sports, der Unterhaltung und der Erholung",29709.0,17615.0,9041.0,-199.0,5525.0,3248.0,0.5929179709852234,0.30431855666633006,540.0,0.018176310209027567,0.009812016442203593,13924.011794594076
"DL d. Interessenvertr., kirchl. u.sonst. Vereinig.",43472.0,31169.0,29237.0,-106.0,2057.0,-19.0,0.7169902465955098,0.6725478468899522,1035.0,0.02380842841369157,0.01435753403936432,33871.22143865778
Reparaturarbeiten an DV-Geräten u. Gebrauchsgütern,4346.0,2851.0,2172.0,7.0,244.0,428.0,0.6560055223193741,0.49976990335941096,337.0,0.07754256787850898,0.0014353570789261442,1421.9225682709719
Sonstige überwiegend persönliche Dienstleistungen,54172.0,36869.0,10905.0,-67.0,1555.0,24476.0,0.6805914494572842,0.2013032562947648,1391.0,0.02567747175662704,0.01789143204776509,31750.887419737173
