user,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71
"Druckereileist., besp. Ton-, Bild- u. Datenträger",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002493454681461165,0.0003740182022191747,0.14250093504550557,0.201221792793916,0.0013714000748036405,0.02468520134646553,0.0,0.005984291235506796,0.0,0.0,0.0,0.0008727091385114076,0.0,0.0012467273407305822,0.012965964343598056,0.0006233636703652911,0.008727091385114075,0.0,0.0,0.0003740182022191747,0.011968582471013591,0.025807255953123054,0.010472509662136892,0.001620745542949757,0.0028674728836803392,0.0003740182022191747,0.0,0.03303827452936043,0.0047375638947762125,0.1008602418651041,0.02717865602792669,0.006233636703652911,0.0,0.000498690936292233,0.004488218426630096,0.023687819473881065,0.0,0.00423887295848398,0.0,0.005859618501433737,0.030046128911607035,0.017952873706520385,0.013714000748036406,0.0,0.05734945767360678,0.0423887295848398,0.001620745542949757,0.0,0.00211943647924199,0.007106345842164319,0.07767111332751528,0.01695549183393592,0.0002493454681461165,0.03652911108340606,0.017204837302082037,0.0,0.0,0.0,0.0,0.0024934546814611644,0.0,0.007106345842164319,0.0024934546814611644,0.0018700910110958733
Kokerei- und Mineralölerzeugnisse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chemische Erzeugnisse,0.00013912559563145633,0.0,0.0,0.0,3.478139890786408e-5,0.06404414918901373,0.010735858462894047,0.0,0.0021332591330156634,0.01380821536642204,0.000904316371604466,0.038074038004475216,0.4740704671141874,0.0,0.006909904583028998,0.00013912559563145633,0.00037100158835055017,9.275039708763754e-5,1.1593799635954693e-5,0.0,0.004336081063847055,0.0003130325901707767,0.0006144713807055988,0.0015419753515819742,0.0,0.0,1.1593799635954693e-5,0.01944280198949602,0.03289160956720347,0.007941752750628965,0.0025854173188178966,0.020474650157095986,0.00028984499089886734,0.0,0.010434419672359224,0.0006840341785213269,0.05698352521071731,0.01586031790198602,0.01638203888560398,0.0006144713807055988,0.0007535969763370551,0.004486800459114466,0.016092193894705113,0.0028520747104448544,0.0016347257486696118,0.0,0.0030143879053482203,0.016590727279051167,0.00659687199285822,0.007501188364462686,0.00019709459381122977,0.011454674040323236,0.02519332660892955,0.021274622331976863,0.0,0.0144574681460355,0.006944685981936861,0.002121665333379709,0.008196816342619968,0.0009159101712404206,0.030781538033459708,0.01027210647745586,0.0,0.002457885522822395,0.00041737678689436896,0.0,6.956279781572816e-5,0.00012753179599550162,0.0016115381493977026,0.0006724403788853722,0.0004405643861662783
Pharmazeutische Erzeugnisse,0.0,0.0,0.0,0.0,0.0,0.0,0.010784448413243577,0.0010303613133672207,0.0,0.0508998488803407,0.0037093007281219946,0.0,0.14356367632916608,0.33885149058936664,0.02445390850391537,0.01188350048083528,0.0,0.00041214452534688825,0.0006869075422448138,0.0,0.010303613133672207,0.009891468608325318,0.0,0.0020607226267344413,0.0,0.0,0.0,0.0,0.003640609973897513,0.0013738150844896276,0.0002747630168979255,0.0003434537711224069,0.0,0.0,0.007624673718917434,0.0,0.073773870037093,0.02486605302926226,0.0,0.0,0.0004808352795713697,0.0,0.032009891468608324,0.0006182167880203324,0.005151806566836103,0.0,0.0020607226267344413,0.039085039153729906,0.00789943673581536,0.00013738150844896276,0.0,0.0,0.02795713696936392,0.03970325594175023,0.0,0.04554197005083116,0.0044648990245912895,0.0,0.02411045473279296,0.0017859596098365159,0.026583321884874295,0.015730182717406237,0.0,0.003228465448550625,0.0,0.0,0.0,0.0006182167880203324,0.0015111965929385904,0.0008929798049182579,0.0
Gummi- und Kunststoffwaren,0.004497336193177888,0.0,0.0,0.0,0.0,0.0,0.0,0.006227080882861691,0.0,0.011693074102262509,0.0015913651145090986,0.0007264927696671972,0.09648515879056253,0.0,0.2794921469591089,0.008060610253926521,0.0,0.0027329966097004088,0.0012800110703660144,0.0,0.02255587075347679,0.00020756936276205637,0.0005189234069051409,0.003528679166954958,0.0,0.0,0.0,0.012454161765723382,0.05517885560091332,0.006780599183560508,0.001764339583477479,0.07929149657510554,0.00010378468138102819,0.0,0.012938490278834846,0.0,0.058603750086487244,0.024527779699716326,0.02255587075347679,0.0005189234069051409,0.00048432851311146485,0.020238012869300496,0.00702276344011624,0.0,0.001176226388984986,0.0,0.006573029820798451,0.011485504739500451,0.013561198367121016,0.009894139624991352,0.0,0.02871376184875113,0.0310662146267211,0.04331280702968243,0.0,0.009271431536705184,0.0057081574759565495,0.01850826817961669,0.03532138656334326,0.00020756936276205637,0.023697502248668102,0.01536013284439217,0.0,0.00020756936276205637,0.0005189234069051409,0.0,3.459489379367606e-5,0.0,0.0021102885214142396,0.0006573029820798451,0.000553518300698817
Glas und Glaswaren,0.0,0.0,0.0,0.0,0.0,0.016073940124573038,0.0,0.0,0.0054249547920434,0.02752662246333133,0.0022101667671287927,0.0020092425155716297,0.013863773357444245,0.0,0.0022101667671287927,0.21478802491460722,0.0,0.00020092425155716296,0.0,0.0,0.015270243118344386,0.0,0.00020092425155716296,0.006831424552943541,0.0,0.0,0.0,0.03375527426160338,0.06670685151697811,0.04480610809724734,0.005023106288929074,0.10287321679726744,0.0004018485031143259,0.0,0.013261000602772756,0.0020092425155716297,0.10086397428169581,0.03496081977094635,0.010046212577858147,0.0,0.0006027727546714889,0.006228651798272052,0.0008036970062286518,0.0,0.0022101667671287927,0.0,0.010046212577858147,0.013863773357444245,0.011854530841872614,0.008840667068515171,0.0,0.026722925457102673,0.05846895720313442,0.035161744022503515,0.0,0.007032348804500703,0.0044203335342575855,0.013863773357444245,0.02993771348201728,0.00020092425155716296,0.02531645569620253,0.015069318866787222,0.0,0.0,0.0,0.0,0.0,0.0,0.0038175607795860964,0.0040184850311432594,0.00020092425155716296
"Keramik, bearbeitete Steine und Erden",4.579803068468055e-5,0.0,0.0,0.0013739409205404164,0.0,0.11362491412869244,0.0,0.0,0.0026104877490267914,0.0032058621479276383,0.0010075566750629723,0.016120906801007556,0.025417907029997706,0.0,0.002152507442179986,0.0,0.21900618273414238,0.0006869704602702082,0.0,0.0,0.0025188916876574302,0.0,0.0,0.0037554385161438055,0.0,0.00013739409205404166,0.0,0.031417449049690856,0.05074421799862605,0.013876803297458207,0.0036180444240897637,0.02509732081520494,0.0,0.0,0.014014197389512248,0.007923059308449734,0.09993130295397296,0.03164643920311426,0.07520036638424546,0.0006411724295855277,0.0002747881841080833,0.02670025188916876,0.0008701625830089305,0.0,0.0008701625830089305,0.0,0.006457522326539957,0.011403709640485458,0.009297000228990151,0.008426837645981221,0.0,0.027799404625601095,0.017907029997710096,0.042546370506068236,0.0,0.004762995191206777,0.006823906572017402,0.02688344401190748,0.017357453629493928,0.0001831921227387222,0.0233111976185024,0.019372566979619876,0.0,0.0,0.0,0.0,0.0,0.0,0.0014197389512250972,0.0010991527364323332,0.00045798030684680554
"Roheisen, Stahl, Erz.d.erst. Bearb.v.Eisen u.Stahl",0.0,0.0,0.0,0.0001766602381968878,0.0,0.00016193855168048052,0.0,4.416505954922195e-5,0.0005299807145906635,0.0,0.00048581565504144156,0.015222223857965168,0.003430152958322905,0.0,0.00027971204381173906,4.416505954922195e-5,0.0032682144066424248,0.724336419980273,0.0019432626201657663,0.0003385987898773684,0.004328175835823752,0.00048581565504144156,0.0012071782943454002,0.0015016120246735467,0.0,0.0,2.944337303281464e-5,0.02919310436203571,0.02920782604855212,0.01818128284776304,0.0013396734729930661,0.024187730946457226,4.416505954922195e-5,0.0,0.013867828698455693,0.0005152590280742561,0.03726058857302692,0.0035037613909049423,0.03402181753941732,0.0006330325202055147,0.00013249517864766589,0.003783473434716681,0.00016193855168048052,0.0,0.0004710939685250342,0.0,0.0007213626393039586,0.0041956806571760855,0.0032534927201260176,0.000927466250533661,0.0,0.0034448746448393127,0.009716313100828832,0.004931764982996452,0.0,0.0002208252977461098,0.0009863529965992905,0.0025026867077892444,0.0034743180178721275,5.888674606562928e-5,0.00609477821779263,0.003709865002134644,0.0,0.0,0.0002355469842625171,0.0,0.0,1.472168651640732e-5,0.000691919266271144,0.0002502686707789244,0.0002502686707789244
NE-Metalle und Halbzeug daraus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gießereierzeugnisse,0.0,0.0,0.0,0.0,0.0,0.003281762775433661,0.0,0.00011720581340834503,0.002226910454758556,0.00011720581340834503,0.0018752930145335205,0.005743084857008906,0.03973277074542897,0.0,0.0,0.0,0.009610876699484293,0.07395686826066572,0.11111111111111109,0.16936240037505856,0.0,0.0019924988279418653,0.0031645569620253155,0.0023441162681669004,0.0,0.0,0.00011720581340834503,0.06540084388185653,0.07536333802156586,0.014416315049226438,0.003750586029067041,0.08321612751992498,0.00035161744022503506,0.0,0.020979840600093762,0.0,0.07618377871542427,0.016643225503984994,0.011251758087201122,0.0,0.00011720581340834503,0.009024847632442568,0.003633380215658696,0.0,0.0010548523206751054,0.0,0.006563525550867322,0.020628223159868727,0.010782934833567744,0.003984997655883731,0.0,0.014416315049226438,0.020393811533052038,0.01746366619784341,0.0,0.0018752930145335205,0.0018752930145335205,0.01394749179559306,0.03856071261134551,0.00023441162681669007,0.022972339428035626,0.01488513830285982,0.0,0.0,0.0,0.0,0.0,0.0,0.003398968588842006,0.0005860290670417251,0.0012892639474917954
Metallerzeugnisse,0.0,0.0,0.0,0.0,0.0,0.00013189349600197843,0.0,0.0006924408540103867,0.002901656912043525,0.005160333031077406,0.001417855082021268,0.0008902810980133544,0.006940895227104114,0.0,0.007039815349105598,0.005457093397081857,0.0005935207320089029,0.08864891600032974,0.03399554859450994,0.019108070233286624,0.3961586019289424,0.0012200148380183003,0.0022916494930343752,0.017723188525265852,0.0004781139230071718,0.0,0.00011540680900173111,0.039930755914598964,0.024960844118374417,0.0066771082351001565,0.002225702745033386,0.019816997774297258,0.00013189349600197843,0.0,0.01051850630615778,0.0022751628060341277,0.07288764322809332,0.018168329074272526,0.006149534251092244,6.594674800098921e-5,0.002390569615035859,0.006957381914104362,0.007649822768114749,0.004138158437062073,0.0010386612810155801,0.0,0.005094386283076417,0.021069985986316053,0.01210122825818152,0.0024400296760366006,0.0,0.02890116231143352,0.012925562608193884,0.017492374907262388,0.0,0.0025719231720385794,0.003841398071057622,0.012859615860192896,0.03688071881955322,0.0013354216470200316,0.013733410271206002,0.007468469211112029,0.0,0.0022751628060341277,1.6486687000247303e-5,0.0,1.6486687000247303e-5,0.0,0.001417855082021268,0.00029676036600445144,0.0003132470530046987
"DV-Geräte, elektronische und optische Erzeugnisse",0.0,0.0,0.0,0.0,3.5589721688376405e-5,0.0,0.0,0.0012812299807815506,0.002847177735070112,0.014413837283792445,0.0035589721688376406,0.0012100505374047978,0.004519894654423804,0.0,0.019076090824969753,0.010214250124564029,0.0016371271976653146,0.0035589721688376406,0.022101217168481745,0.006050252687023989,0.04107053882838638,0.09449071108263936,0.009075379030535983,0.005302868531568085,0.0,0.0,0.01000071179443377,0.029681827888105923,0.016798348636913662,0.002028614136237455,0.0017438963627304438,0.002882767456758489,0.0,0.0,0.010356609011317533,0.00227774218805609,0.1591572353904193,0.12200156594775431,0.015481528934443736,0.00028471777350701124,0.029397110114598914,0.025126343511993745,0.03907751441383729,0.0,0.0035589721688376406,0.0024201010748095956,0.015766246707950748,0.03555413196668803,0.014022350345220305,0.0042707666026051685,0.0,0.02477044629510998,0.02804470069044061,0.039682539682539694,0.0,0.014235888675350562,0.01405794006690868,0.007972097658196316,0.025304292120435626,0.0016015374759769383,0.036977720834223085,0.012669940921062,0.0,0.0027759982916933596,0.0007473841554559046,0.0,7.117944337675281e-5,0.0,0.0035589721688376406,0.0035589721688376406,0.0016371271976653146
